N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.55 0.0832077 39.8003 477482 0.999997 0.00111226
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.60 0.0604376 36.8981 244735 0.999997 0.00113898
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.65 0.0424923 33.7086 117394 0.999995 0.00116309
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.70 0.0305055 30.7562 59460.2 0.999993 0.00117556
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.75 0.0217727 27.886 30680.4 0.999991 0.00115488
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.80 0.0148192 24.7064 14728 0.999988 0.00097676
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.85 0.0171785 26.027 19979.6 0.99999 0.000973575
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.90 0.0268545 29.911 48935.8 0.999993 0.00101743
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.95 0.0392644 33.2488 105596 0.999995 0.00102457
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.00 0.0572519 36.6479 231028 0.999997 0.00101383
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.05 0.0844591 40.2341 527642 0.999998 0.000992867
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.10 0.117258 43.3994 1.09367E+06 0.999998 0.00096083
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.15 0.138909 45.314 1.69963E+06 0.999999 0.000915952
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.55 0.0768433 37.3752 273154 0.999996 0.00142883
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.60 0.0584714 34.938 155821 0.999995 0.00145347
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.65 0.0419951 32.0143 79456.6 0.999993 0.00147266
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.70 0.0298463 29.0872 40471.7 0.99999 0.00146589
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.75 0.0198813 25.7214 18618.6 0.999987 0.00126606
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.80 0.0223827 26.8316 24056 0.999989 0.00121507
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.85 0.0370529 31.2354 66402 0.999993 0.00125956
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.90 0.054896 34.7191 148159 0.999995 0.00126755
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.95 0.0779595 37.9198 309655 0.999996 0.00125565
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.00 0.105816 40.832 605533 0.999997 0.00123015
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.05 0.129874 42.9971 996916 0.999998 0.00119079
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.10 0.141959 44.3179 1.35127E+06 0.999998 0.00113525
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.15 0.146556 45.3218 1.70268E+06 0.999998 0.00106362
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.55 0.0702064 34.212 131826 0.999992 0.00198469
